"KymoButler Version 1.1.4 Summary","pixelsize time= 1 sec","pixelsize space= 1 um","minimum frames= 3","minimum obj size= 3","threshold= 0.15"
"Direction","Av frame2frame velocity [um/sec]","track duration [sec]","track total displacement [um]","Start2end velocity [um/sec]"
-1.,2.0611,132.,270.,2.0455
-1.,0.5938,33.,19.,0.5758
-1.,2.0255,197.,397.,2.0152
1.,2.8382,69.,193.,2.7971
1.,10.,11.,100.,9.090900000000001
1.,3.75,5.,15.,3.
1.,2.9429000000000003,36.,103.,2.8611
1.,4.709700000000001,63.,292.,4.6349
-1.,1.4000000000000001,31.,42.,1.3548
1.,3.2368,39.,123.,3.1538
-1.,0.8442000000000001,78.,65.,0.8333
0.,0.,6.,0.,0.
1.,0.7609,47.,35.,0.7447
-1.,1.4127,64.,89.,1.3906
-1.,2.1963,108.,235.,2.1759
-1.,1.9024,42.,78.,1.8571000000000002
1.,2.6316,21.,51.,2.4286000000000003
-1.,0.33330000000000004,4.,1.,0.25
1.,4.9375,33.,158.,4.7879000000000005
1.,2.2778,37.,82.,2.2162
-1.,1.5328000000000002,267.,406.,1.5206000000000002
1.,0.8462000000000001,27.,22.,0.8148000000000001
-1.,3.3333000000000004,4.,10.,2.5
-1.,1.5,11.,15.,1.3636000000000001
-1.,1.2750000000000001,13.,11.,0.8462000000000001
1.,2.0147,69.,137.,1.9855
-1.,1.1429,8.,8.,1.
1.,1.5333,16.,23.,1.4375
1.,1.2103000000000002,44.,48.,1.0909
0.,2.1429,15.,30.,2.
1.,1.0741,55.,58.,1.0545
1.,1.1923000000000001,27.,31.,1.1481000000000001
1.,3.,4.,9.,2.25
1.,1.1,11.,11.,1.
-1.,2.3235,35.,79.,2.2571000000000003
